FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
SITE1,UNIT11943_20170410_212704.wac,0,80.51,7.689,UNIT11943_0_20170410_212824_510,10/04/2017,21:28:24,21,10/04/2017,09:28:24,9,PLAUR,6,4,0.081151,NYNO;PIPI,6,27.338,35.99,2.749,36.345,26.745,29.725,806.162,27.678,1.886,362.001,2.527,4.53,1,PIPI and Plecotus sp.
SITE1,UNIT11943_20170408_225304.wac,0,47.388,4.211,UNIT11943_0_20170408_225351_388,08/04/2017,22:53:51,22,08/04/2017,10:53:51,10,PIPY,4,4,0.749786,,4,53.983,11.72,2.345,57.037,53.357,54.572,359.927,54.617,0.703,241.971,2.252,1.27,1,PIPY
SITE1,UNIT11943_20170408_202304.wac,0,896.483,7.617,UNIT11943_0_20170408_203800_483,08/04/2017,20:38:00,20,08/04/2017,08:38:00,8,PIPI,14,11,0.31878,MYBR,15,47.326,13.14,2.698,60.618,45.754,49.61,255.092,47.433,1.453,731.363,2.174,11.01,1,PIPI + Fbuzz
SITE1,UNIT11943_20170408_202304.wac,0,904.489,4.61,UNIT11943_0_20170408_203808_489,08/04/2017,20:38:08,20,08/04/2017,08:38:08,8,PIPI,12,11,0.377846,BABA,14,47.251,-4.38,3.015,61.475,45.435,49.447,208.012,47.688,1.729,750.474,2.391,7.42,1,PIPI
SITE1,UNIT11943_20170409_212504.wac,0,1152.345,5.254,UNIT11943_0_20170409_214416_345,09/04/2017,21:44:16,21,09/04/2017,09:44:16,9,PIPI,2,2,0.296448,,2,43.722,-14.73,3.527,50.008,42.565,44.452,241.686,43.728,1.687,276.377,2.467,1.69,1,PIPI
SITE2,UNIT11943_20170409_212504.wac,0,1146.68,4.219,UNIT11943_0_20170409_214410_680,09/04/2017,21:44:10,21,09/04/2017,09:44:10,9,PIPI,5,4,0.375825,BABA,6,47.366,87.88,3.375,56.813,46.138,49.721,149.899,48.837,1.963,409.698,2.552,4.97,1,PIPI
SITE2,UNIT11943_20170408_205304.wac,0,98.361,4.738,UNIT11943_0_20170408_205442_361,08/04/2017,20:54:42,20,08/04/2017,08:54:42,8,PIPI,17,17,0.339129,,17,44.452,2.5,4.181,47.228,43.666,44.737,164.777,44.547,1.549,229.793,3.164,4.47,1,PIPI
SITE2,UNIT11943_20170408_205304.wac,0,105.503,4.897,UNIT11943_0_20170408_205449_503,08/04/2017,20:54:49,20,08/04/2017,08:54:49,8,PIPI,15,14,0.402404,MYBR,16,45.133,10.26,3.35,54.218,44.057,46.578,182.63,45.333,1.941,488.904,2.698,8.75,1,PIPI
SITE2,UNIT11943_20170409_212504.wac,0,1134.888,6.511,UNIT11943_0_20170409_214358_888,09/04/2017,21:43:58,21,09/04/2017,09:43:58,9,PIPI,2,2,0.624988,,2,45.722,83.78,2.273,49.037,45.327,46.615,1325.713,47.062,1.106,364.557,1.626,1.62,1,PIPI
SITE2,UNIT11943_20170408_205304.wac,0,594.44,4.659,UNIT11943_0_20170408_210258_440,08/04/2017,21:02:58,21,08/04/2017,09:02:58,9,PIPI,5,5,0.337113,,5,44.655,-9.43,2.529,46.261,43.87,44.604,805.857,44.303,1.233,237.252,2.168,1.57,1,PIPI
